"ODD";"INDICATEUR_DEVDUR";"UNIT_MEASURE";"UNIT_MULT";"OBS_STATUS";"GEO";"GEO_OBJECT";"DEVDUR_COMPOSITE";"SEX";"AGE";"EMPSTA";"PCS";"TYPE_INDICATEUR_DEVDUR";"TIME_PERIOD";"OBS_VALUE"
"ODD5";"5.i5b";"PT";"0";"A";"F_X_D976";"FRANCE";"FPT";"F";"_T";"_Z";"_Z";"I_ODD";2010;24
"ODD3";"3.i8";"PT";"0";"L";"FM";"FRANCE";"_Z";"F";"Y35T44";"_T";"_Z";"I_ODD";2015;
"ODD8";"8.i8";"PT";"0";"A";"F";"FRANCE";"_T";"_T";"Y_LT26";"_Z";"_Z";"I_ODD";2023;31.5
"ODD8";"8.i1";"PT";"0";"A";"F";"FRANCE";"_Z";"_Z";"_Z";"_Z";"_Z";"I_ODD";2012;-0.286541
"ODD8";"8.i5";"HW";"6";"L";"F";"FRANCE";"81.30";"_T";"_Z";"_Z";"_T";"I_ODD";2015;
"ODD2";"2.i2b";"PT";"0";"L";"FM";"FRANCE";"_Z";"_T";"Y_GE15";"_Z";"_Z";"I_ODD";2018;
"ODD4";"4.i1a";"PT";"0";"L";"F_X_D976";"FRANCE";"_Z";"_T";"_Z";"_Z";"_Z";"I_ODD";2019;
"ODD17";"17.i2b";"_Z";"0";"A";"F";"FRANCE";"APD_CAD310-520";"_Z";"_Z";"_Z";"_Z";"I_ODD";2022;436.8
"ODD1";"1.i1b";"PT";"0";"B";"FM";"FRANCE";"NIVIEMED_S50";"_T";"_T";"11";"_T";"I_ODD";2021;3.1
"ODD9";"9.i4";"FT";"0";"A";"F";"FRANCE";"_Z";"_Z";"_Z";"_Z";"_Z";"I_ODD";2021;496250
"ODD17";"17.i2b";"_Z";"0";"A";"F";"FRANCE";"APD_CAD120-130";"_Z";"_Z";"_Z";"_Z";"I_ODD";2016;286.8
"ODD4";"4.i1d";"PT";"0";"L";"F";"FRANCE";"_Z";"F";"Y15";"_Z";"_Z";"I_ODD";2024;
"ODD8";"8.i8";"PT";"0";"R";"F";"FRANCE";"EMP_AIDE2";"_T";"Y_LT26";"_Z";"_Z";"I_ODD";2018;6.7
"ODD9";"9.i6c";"XDC";"6";"A";"F";"FRANCE";"OBJ_SOCECO2";"_Z";"_Z";"_Z";"_Z";"I_ODD";2011;284
"ODD9";"9.i6c";"XDC";"6";"A";"F";"FRANCE";"OBJ_SOCECO3";"_Z";"_Z";"_Z";"_Z";"I_ODD";2015;1009.5
"ODD1";"1.i1a";"PT";"0";"L";"FM";"FRANCE";"NIVIEMED_S60";"_T";"Y65T74";"_T";"_T";"I_ODD";2024;
"ODD8";"8.i5";"HW";"6";"L";"F";"FRANCE";"02.40";"_T";"_Z";"_Z";"_T";"I_ODD";2015;
"ODD4";"4.i2";"PT";"0";"A";"FM";"FRANCE";"_Z";"_T";"Y18T64";"_Z";"_Z";"I_ODD";2016;50.8
"ODD2";"2.i2e";"PT";"0";"L";"F";"FRANCE";"_Z";"_T";"_Z";"_Z";"_T";"I_ODD";2017;
"ODD10";"10.i5";"PT";"0";"A";"F";"FRANCE";"_Z";"F";"Y_GE15";"_Z";"_Z";"I_ODD";2015;75.9
"ODD3";"3.i8";"PT";"0";"A";"FM";"FRANCE";"_Z";"_T";"Y18T75";"_T";"_Z";"I_ODD";2019;24
"ODD3";"3.i8";"PT";"0";"L";"FM";"FRANCE";"_Z";"F";"Y45T54";"_T";"_Z";"I_ODD";2012;
"ODD10";"10.i4";"PT";"0";"A";"F";"FRANCE";"_Z";"F";"Y_GE15";"_Z";"_Z";"I_ODD";2024;88.8
"ODD3";"3.i8";"PT";"0";"A";"FM";"FRANCE";"DIPL_NIV1";"_T";"Y18T75";"_T";"_Z";"I_ODD";2017;29.3
"ODD2";"2.i2c";"PT";"0";"L";"F";"FRANCE";"_Z";"_T";"_Z";"_Z";"5";"I_ODD";2022;
"ODD8";"8.i8";"PT";"0";"A";"F";"FRANCE";"EMP_AIDE1";"_T";"Y_LT26";"_Z";"_Z";"I_ODD";2010;15.8
"ODD8";"8.i3";"PT";"0";"A";"F_X_D976";"FRANCE";"_Z";"_T";"Y15T24";"_Z";"_Z";"I_ODD";2023;7.6
"ODD4";"4.i1c";"PT";"0";"L";"F";"FRANCE";"_Z";"F";"Y15";"_Z";"_Z";"I_ODD";2021;
"ODD9";"9.i6c";"XDC";"6";"A";"F";"FRANCE";"OBJ_SOCECO5";"_Z";"_Z";"_Z";"_Z";"I_ODD";2012;1132.3
"ODD8";"8.i3";"PT";"0";"A";"F_X_D976";"FRANCE";"_Z";"F";"Y_GE15";"_Z";"_Z";"I_ODD";2012;10.5
"ODD10";"10.i5";"PT";"0";"A";"F";"FRANCE";"_Z";"_T";"Y45T59";"_Z";"_Z";"I_ODD";2023;94.3
"ODD10";"10.i5";"PT";"0";"A";"F";"FRANCE";"_Z";"_T";"Y45T59";"_Z";"_Z";"I_ODD";2013;81.7
"ODD3";"3.i8";"PT";"0";"L";"FM";"FRANCE";"_Z";"F";"Y18T75";"_T";"_Z";"I_ODD";2022;
"ODD5";"5.i3a";"_Z";"0";"A";"FM";"FRANCE";"_Z";"_T";"Y18T75";"_Z";"_Z";"I_ODD";2015;389000
"ODD3";"3.i8";"PT";"0";"A";"FM";"FRANCE";"_Z";"F";"Y45T54";"_T";"_Z";"I_ODD";2021;27.8
"ODD3";"3.i3";"P100000";"0";"A";"F";"FRANCE";"_Z";"F";"_Z";"_Z";"_Z";"I_ODD";2013;7.2
"ODD5";"5.i5b";"PT";"0";"B";"F_X_D976";"FRANCE";"FPT";"F";"_T";"_Z";"_Z";"I_ODD";2021;34
"ODD5";"5.i5b";"PT";"0";"A";"F_X_D976";"FRANCE";"FPT";"F";"_T";"_Z";"_Z";"I_ODD";2011;25
"ODD3";"3.i8";"PT";"0";"L";"FM";"FRANCE";"_Z";"F";"Y55T64";"_T";"_Z";"I_ODD";2020;
"ODD3";"3.i6";"_Z";"0";"A";"FM";"FRANCE";"_Z";"_T";"Y65T74";"_Z";"_Z";"I_ODD";2019;317
"ODD7";"7.i1";"PT";"0";"L";"FM";"FRANCE";"_Z";"_T";"_T";"_Z";"_Z";"I_ODD";2024;
"ODD8";"8.i3";"PT";"0";"A";"F_X_D976";"FRANCE";"_Z";"F";"Y_GE15";"_Z";"_Z";"I_ODD";2016;10.4
"ODD8";"8.i5";"HW";"6";"L";"F";"FRANCE";"43.91B";"_T";"_Z";"_Z";"_T";"I_ODD";2017;
"ODD7";"7.i1";"PT";"0";"A";"FM";"FRANCE";"_Z";"_T";"_T";"_Z";"_Z";"I_ODD";2011;6
"ODD8";"8.i8";"PT";"0";"R";"F";"FRANCE";"_T";"_T";"Y_LT26";"_Z";"_Z";"I_ODD";2020;38.5
"ODD8";"8.i3";"PT";"0";"A";"F_X_D976";"FRANCE";"_Z";"_T";"Y25T49";"_Z";"_Z";"I_ODD";2011;6.2
"ODD2";"2.i2b";"PT";"0";"A";"FM";"FRANCE";"_Z";"_T";"Y_GE15";"_Z";"_Z";"I_ODD";2014;14.7
"ODD8";"8.i8";"PT";"0";"R";"F";"FRANCE";"EMP_AIDE1";"_T";"Y_LT26";"_Z";"_Z";"I_ODD";2014;15.5
"ODD17";"17.i2b";"_Z";"0";"A";"F";"FRANCE";"APD_CAD310-520";"_Z";"_Z";"_Z";"_Z";"I_ODD";2014;468.3
"ODD1";"1.i1a";"PT";"0";"A";"FM";"FRANCE";"NIVIEMED_S60";"_T";"_T";"11";"_T";"I_ODD";2010;6.3
"ODD8";"8.i8";"PT";"0";"R";"F";"FRANCE";"EMP_AIDE3";"_T";"Y_LT26";"_Z";"_Z";"I_ODD";2017;0.5
"ODD8";"8.i8";"PT";"0";"R";"F";"FRANCE";"EMP_AIDE1";"_T";"Y_LT26";"_Z";"_Z";"I_ODD";2017;15.5
"ODD3";"3.i6";"_Z";"0";"A";"FM";"FRANCE";"ROUTE_TYP1";"_T";"_T";"_Z";"_Z";"I_ODD";2021;248
