"ODD";"INDICATEUR_DEVDUR";"UNIT_MEASURE";"UNIT_MULT";"OBS_STATUS";"GEO";"GEO_OBJECT";"DEVDUR_COMPOSITE";"SEX";"AGE";"EMPSTA";"PCS";"TYPE_INDICATEUR_DEVDUR";"TIME_PERIOD";"OBS_VALUE"
"ODD1";"1.i1a";"PT";"0";"A";"FM";"FRANCE";"NIVIEMED_S60";"_T";"_T";"11";"_T";"I_ODD";2015;6.5
"ODD3";"3.i2";"_Z";"0";"E";"F";"FRANCE";"CONTAMIN_MOD4";"_T";"_T";"_Z";"_Z";"I_ODD";2021;255
"ODD2";"2.i2f";"PT";"0";"L";"F";"FRANCE";"_Z";"_T";"_Z";"_Z";"1_2";"I_ODD";2015;
"ODD1";"1.i1a";"PT";"0";"A";"FM";"FRANCE";"NIVIEMED_S60";"_T";"Y40T49";"_T";"_T";"I_ODD";2016;13.5
"ODD11";"11.i1";"PT";"0";"L";"FM";"FRANCE";"_Z";"_T";"_T";"_Z";"_Z";"I_ODD";2015;
"ODD4";"4.i2";"PT";"0";"L";"FM";"FRANCE";"_Z";"_T";"Y18T64";"_Z";"_Z";"I_ODD";2020;
"ODD4";"4.i1c";"PT";"0";"L";"F";"FRANCE";"SESC2";"_T";"Y15";"_Z";"_Z";"I_ODD";2021;
"ODD1";"1.i1a";"PT";"0";"A";"FM";"FRANCE";"NIVIEMED_S60";"_T";"_T";"11";"_T";"I_ODD";2020;6.4
"ODD8";"8.i8";"PT";"0";"R";"F";"FRANCE";"EMP_AIDE5";"_T";"Y_LT26";"_Z";"_Z";"I_ODD";2018;0.7
"ODD10";"10.i2d";"_Z";"0";"A";"FM";"FRANCE";"_Z";"_T";"_T";"_Z";"_Z";"I_ODD";2018;3.49
"ODD3";"3.i2";"_Z";"0";"E";"F";"FRANCE";"_Z";"M_cis";"_T";"_Z";"_Z";"I_ODD";2010;3980
"ODD10";"10.i5";"PT";"0";"A";"F";"FRANCE";"_Z";"_T";"Y_GE15";"_Z";"_Z";"I_ODD";2012;74.7
"ODD3";"3.i8";"PT";"0";"L";"FM";"FRANCE";"_Z";"F";"Y25T34";"_T";"_Z";"I_ODD";2022;
"ODD3";"3.i3";"P100000";"0";"A";"F";"FRANCE";"_Z";"F";"_Z";"_Z";"_Z";"I_ODD";2011;8
"ODD5";"5.i5b";"PT";"0";"A";"F_X_D976";"FRANCE";"FPT";"F";"_T";"_Z";"_Z";"I_ODD";2014;28
"ODD3";"3.i3";"P100000";"0";"L";"F";"FRANCE";"_Z";"M";"_Z";"_Z";"_Z";"I_ODD";2024;
"ODD10";"10.i5";"PT";"0";"A";"F";"FRANCE";"_Z";"F";"Y_GE15";"_Z";"_Z";"I_ODD";2022;84.8
"ODD2";"2.i2e";"PT";"0";"A";"F";"FRANCE";"_Z";"_T";"_Z";"_Z";"4";"I_ODD";2013;10.2
"ODD3";"3.i8";"PT";"0";"L";"FM";"FRANCE";"_Z";"F";"Y45T54";"_T";"_Z";"I_ODD";2013;
"ODD3";"3.i2";"_Z";"0";"E";"F";"FRANCE";"_Z";"_T";"_T";"_Z";"_Z";"I_ODD";2016;6245
"ODD3";"3.i8";"PT";"0";"L";"FM";"FRANCE";"_Z";"M";"Y55T64";"_T";"_Z";"I_ODD";2020;
"ODD2";"2.i2a";"PT";"0";"L";"FM";"FRANCE";"_Z";"M";"Y_GE15";"_Z";"_Z";"I_ODD";2016;
"ODD3";"3.i8";"PT";"0";"A";"FM";"FRANCE";"_Z";"F";"Y18T24";"_T";"_Z";"I_ODD";2018;28.8
"ODD8";"8.i6";"PT";"0";"L";"FM";"FRANCE";"_Z";"M";"_Z";"_Z";"_Z";"I_ODD";2015;
"ODD4";"4.i1d";"PT";"0";"L";"F";"FRANCE";"SESC4";"_T";"Y15";"_Z";"_Z";"I_ODD";2023;
"ODD9";"9.i6c";"XDC";"6";"A";"F";"FRANCE";"OBJ_SOCECO2";"_Z";"_Z";"_Z";"_Z";"I_ODD";2014;200.2
"ODD9";"9.i6c";"XDC";"6";"A";"F";"FRANCE";"OBJ_SOCECO3";"_Z";"_Z";"_Z";"_Z";"I_ODD";2011;1039
"ODD8";"8.i6";"PT";"0";"L";"FM";"FRANCE";"_Z";"F";"_Z";"_Z";"_Z";"I_ODD";2011;
"ODD4";"4.i2";"PT";"0";"L";"FM";"FRANCE";"_Z";"F";"Y18T64";"_Z";"_Z";"I_ODD";2020;
"ODD3";"3.i6";"_Z";"0";"A";"FM";"FRANCE";"ROUTE_TYP3";"_T";"_T";"_Z";"_Z";"I_ODD";2022;1039
"ODD3";"3.i2";"_Z";"0";"E";"F";"FRANCE";"_Z";"F_cis";"_T";"_Z";"_Z";"I_ODD";2015;1970
"ODD3";"3.i8";"PT";"0";"A";"FM";"FRANCE";"_Z";"F";"Y25T34";"_T";"_Z";"I_ODD";2017;31.5
"ODD3";"3.i3";"P100000";"0";"A";"F";"FRANCE";"_Z";"F";"_Z";"_Z";"_Z";"I_ODD";2017;6
"ODD3";"3.i8";"PT";"0";"L";"FM";"FRANCE";"_T";"_T";"Y18T64";"32";"_Z";"I_ODD";2023;
"ODD3";"3.i8";"PT";"0";"L";"FM";"FRANCE";"_Z";"M";"Y55T64";"_T";"_Z";"I_ODD";2015;
"ODD2";"2.i2b";"PT";"0";"A";"FM";"FRANCE";"_Z";"F";"Y_GE15";"_Z";"_Z";"I_ODD";2014;14.8
"ODD4";"4.i3";"PT";"0";"B";"F";"FRANCE";"NUM_COMP1";"_T";"Y16T74";"_Z";"_Z";"I_ODD";2021;28
"ODD8";"8.i3";"PT";"0";"A";"F_X_D976";"FRANCE";"_Z";"M";"Y_GE15";"_Z";"_Z";"I_ODD";2011;3.3
"ODD4";"4.i1b";"PT";"0";"L";"F_X_D976";"FRANCE";"_Z";"_T";"_Z";"_Z";"_Z";"I_ODD";2016;
"ODD4";"4.i1a";"PT";"0";"L";"F_X_D976";"FRANCE";"_Z";"_T";"_Z";"_Z";"_Z";"I_ODD";2013;
"ODD4";"4.i1d";"PT";"0";"L";"F";"FRANCE";"_Z";"_T";"Y15";"_Z";"_Z";"I_ODD";2021;
"ODD8";"8.i5";"HW";"6";"A";"F";"FRANCE";"93.12";"_T";"_Z";"_Z";"_T";"I_ODD";2018;78
"ODD8";"8.i3";"PT";"0";"A";"F_X_D976";"FRANCE";"_Z";"_T";"Y25T49";"_Z";"_Z";"I_ODD";2022;4.1
"ODD4";"4.i2";"PT";"0";"L";"FM";"FRANCE";"_Z";"M";"Y18T64";"_Z";"_Z";"I_ODD";2015;
"ODD8";"8.i5";"HW";"6";"A";"F";"FRANCE";"43.91B";"_T";"_Z";"_Z";"_T";"I_ODD";2014;70
"ODD5";"5.i3b";"PT";"0";"L";"FM";"FRANCE";"_Z";"F";"Y18T75";"_Z";"_Z";"I_ODD";2020;
"ODD2";"2.i2e";"PT";"0";"L";"F";"FRANCE";"_Z";"_T";"_Z";"_Z";"_T";"I_ODD";2014;
"ODD2";"2.i2b";"PT";"0";"L";"FM";"FRANCE";"_Z";"M";"Y_GE15";"_Z";"_Z";"I_ODD";2023;
"ODD3";"3.i8";"PT";"0";"L";"FM";"FRANCE";"_Z";"F";"Y18T75";"_T";"_Z";"I_ODD";2011;
"ODD3";"3.i8";"PT";"0";"A";"FM";"FRANCE";"_Z";"F";"Y45T54";"_T";"_Z";"I_ODD";2014;28.6
"ODD10";"10.i5";"PT";"0";"A";"F";"FRANCE";"_Z";"_T";"Y60T74";"_Z";"_Z";"I_ODD";2018;70.6
"ODD3";"3.i6";"_Z";"0";"A";"FM";"FRANCE";"_Z";"_T";"Y_GE75";"_Z";"_Z";"I_ODD";2020;352
"ODD3";"3.i2";"_Z";"0";"E";"F";"FRANCE";"CONTAMIN_MOD2";"_T";"_T";"_Z";"_Z";"I_ODD";2016;3456
"ODD10";"10.i5";"PT";"0";"A";"F";"FRANCE";"_Z";"F";"Y_GE15";"_Z";"_Z";"I_ODD";2023;86.3
"ODD3";"3.i8";"PT";"0";"L";"FM";"FRANCE";"_T";"_T";"Y18T64";"1";"_Z";"I_ODD";2023;
"ODD10";"10.i3b";"_Z";"0";"L";"F_X_D976";"FRANCE";"_Z";"_T";"_T";"_Z";"_Z";"I_ODD";2013;
"ODD2";"2.i2e";"PT";"0";"L";"F";"FRANCE";"_Z";"_T";"_Z";"_Z";"1_2";"I_ODD";2023;
"ODD2";"2.i2e";"PT";"0";"A";"F";"FRANCE";"_Z";"_T";"_Z";"_Z";"6";"I_ODD";2013;15.6
"ODD3";"3.i7b";"PT";"0";"L";"FM";"FRANCE";"_Z";"_T";"Y_GE16";"_Z";"_Z";"I_ODD";2023;
"ODD3";"3.i2";"_Z";"0";"E";"F";"FRANCE";"_Z";"F_cis";"_T";"_Z";"_Z";"I_ODD";2022;1968
"ODD17";"17.i2b";"_Z";"0";"A";"F";"FRANCE";"APD_CAD151";"_Z";"_Z";"_Z";"_Z";"I_ODD";2013;142
"ODD9";"9.i6c";"XDC";"6";"A";"F";"FRANCE";"OBJ_SOCECO1";"_Z";"_Z";"_Z";"_Z";"I_ODD";2019;935.7
"ODD4";"4.i1c";"PT";"0";"A";"F";"FRANCE";"_Z";"F";"Y15";"_Z";"_Z";"I_ODD";2018;83.7
"ODD8";"8.i8";"PT";"0";"R";"F";"FRANCE";"EMP_AIDE3";"_T";"Y_LT26";"_Z";"_Z";"I_ODD";2018;0.1
"ODD4";"4.i2";"PT";"0";"L";"FM";"FRANCE";"_Z";"M";"Y18T64";"_Z";"_Z";"I_ODD";2014;
"ODD4";"4.i1d";"PT";"0";"A";"F";"FRANCE";"_Z";"M";"Y15";"_Z";"_Z";"I_ODD";2012;77.6
"ODD10";"10.i5";"PT";"0";"A";"F";"FRANCE";"_Z";"_T";"Y30T44";"_Z";"_Z";"I_ODD";2021;96.4
"ODD8";"8.i5";"HW";"6";"A";"F";"FRANCE";"93.12";"_T";"_Z";"_Z";"_T";"I_ODD";2012;77
"ODD3";"3.i7a";"PT";"0";"L";"FM";"FRANCE";"NIVIEMED_S20";"_T";"Y_GE16";"_Z";"_Z";"I_ODD";2023;
"ODD2";"2.i2f";"PT";"0";"L";"F";"FRANCE";"_Z";"_T";"_Z";"_Z";"3";"I_ODD";2019;
"ODD3";"3.i5";"PT";"0";"L";"FM";"FRANCE";"ALCOOL_CONS3";"_T";"Y18T75";"_Z";"_Z";"I_ODD";2018;
"ODD3";"3.i5";"PT";"0";"A";"FM";"FRANCE";"ALCOOL_CONS4";"_T";"Y18T75";"_Z";"_Z";"I_ODD";2010;18.8
"ODD2";"2.i2f";"PT";"0";"L";"F";"FRANCE";"_Z";"_Z";"_Z";"_Z";"6";"I_ODD";2024;
"ODD2";"2.i2f";"PT";"0";"A";"F";"FRANCE";"_Z";"_T";"_Z";"_Z";"3";"I_ODD";2013;1.3
"ODD4";"4.i1d";"PT";"0";"L";"F";"FRANCE";"_Z";"M";"Y15";"_Z";"_Z";"I_ODD";2020;
"ODD9";"9.i6c";"XDC";"6";"A";"F";"FRANCE";"OBJ_SOCECO4";"_Z";"_Z";"_Z";"_Z";"I_ODD";2020;654.2
"ODD4";"4.i1d";"PT";"0";"L";"F";"FRANCE";"_Z";"M";"Y15";"_Z";"_Z";"I_ODD";2013;
"ODD8";"8.i6";"PT";"0";"A";"FM";"FRANCE";"_Z";"M";"_Z";"_Z";"_Z";"I_ODD";2013;41.3
"ODD1";"1.i1b";"PT";"0";"L";"FM";"FRANCE";"NIVIEMED_S50";"_T";"Y65T74";"_T";"_T";"I_ODD";2024;
"ODD8";"8.i8";"PT";"0";"R";"F";"FRANCE";"EMP_AIDE5";"_T";"Y_LT26";"_Z";"_Z";"I_ODD";2013;0.6
"ODD17";"17.i2b";"_Z";"0";"A";"F";"FRANCE";"APD_CAD151";"_Z";"_Z";"_Z";"_Z";"I_ODD";2017;206.8
"ODD4";"4.i1d";"PT";"0";"L";"F";"FRANCE";"_Z";"F";"Y15";"_Z";"_Z";"I_ODD";2016;
"ODD8";"8.i3";"PT";"0";"A";"F_X_D976";"FRANCE";"_Z";"_T";"Y25T49";"_Z";"_Z";"I_ODD";2021;6
"ODD5";"5.i3b";"PT";"0";"B";"FM";"FRANCE";"_Z";"F";"Y18T75";"_Z";"_Z";"I_ODD";2021;75
"ODD2";"2.i2f";"PT";"0";"L";"F";"FRANCE";"_Z";"_T";"_Z";"_Z";"5";"I_ODD";2022;
"ODD5";"5.i5b";"PT";"0";"A";"F_X_D976";"FRANCE";"FPE";"F";"_T";"_Z";"_Z";"I_ODD";2010;27
"ODD10";"10.i2d";"_Z";"0";"A";"FM";"FRANCE";"_Z";"_T";"_T";"_Z";"_Z";"I_ODD";2010;3.45
"ODD3";"3.i5";"PT";"0";"L";"FM";"FRANCE";"ALCOOL_CONS4";"_T";"Y18T75";"_Z";"_Z";"I_ODD";2020;
"ODD4";"4.i1d";"PT";"0";"A";"F";"FRANCE";"SESC1";"_T";"Y15";"_Z";"_Z";"I_ODD";2015;58.7
"ODD8";"8.i5";"HW";"6";"A";"F";"FRANCE";"85.51";"_T";"_Z";"_Z";"_T";"I_ODD";2014;76
"ODD17";"17.i2b";"_Z";"0";"A";"F";"FRANCE";"APD_CAD152_700";"_Z";"_Z";"_Z";"_Z";"I_ODD";2015;80.5
"ODD8";"8.i5";"HW";"6";"L";"F";"FRANCE";"49.42";"_T";"_Z";"_Z";"_T";"I_ODD";2020;
"ODD10";"10.i5";"PT";"0";"A";"F";"FRANCE";"_Z";"_T";"Y45T59";"_Z";"_Z";"I_ODD";2024;94.7
"ODD2";"2.i2f";"PT";"0";"L";"F";"FRANCE";"_Z";"_T";"_Z";"_Z";"1_2";"I_ODD";2023;
"ODD3";"3.i8";"PT";"0";"A";"FM";"FRANCE";"4T8";"_T";"Y18T75";"_T";"_Z";"I_ODD";2014;28.9
"ODD2";"2.i2c";"PT";"0";"L";"F";"FRANCE";"_Z";"_T";"_Z";"_Z";"3";"I_ODD";2018;
"ODD3";"3.i6";"_Z";"0";"A";"FM";"FRANCE";"ROUTE_TYP1";"_T";"_T";"_Z";"_Z";"I_ODD";2014;242
"ODD3";"3.i6";"_Z";"0";"L";"FM";"FRANCE";"_Z";"_T";"Y18T24";"_Z";"_Z";"I_ODD";2024;
"ODD2";"2.i2b";"PT";"0";"L";"FM";"FRANCE";"_Z";"_T";"Y_GE15";"_Z";"_Z";"I_ODD";2021;
"ODD8";"8.i5";"HW";"6";"L";"F";"FRANCE";"49.42";"_T";"_Z";"_Z";"_T";"I_ODD";2017;
"ODD4";"4.i1b";"PT";"0";"L";"F_X_D976";"FRANCE";"_Z";"_T";"_Z";"_Z";"_Z";"I_ODD";2022;
"ODD1";"1.i1a";"PT";"0";"A";"FM";"FRANCE";"NIVIEMED_S60";"_T";"Y50T64";"_T";"_T";"I_ODD";2010;10.8
"ODD4";"4.i3";"PT";"0";"A";"F";"FRANCE";"NUM_COMP4";"_T";"Y16T74";"_Z";"_Z";"I_ODD";2023;10
"ODD9";"9.i6c";"XDC";"6";"A";"F";"FRANCE";"OBJ_SOCECO6";"_Z";"_Z";"_Z";"_Z";"I_ODD";2018;249.9
"ODD3";"3.i8";"PT";"0";"A";"FM";"FRANCE";"_Z";"F";"Y18T24";"_T";"_Z";"I_ODD";2016;29.2
"ODD3";"3.i8";"PT";"0";"A";"FM";"FRANCE";"_T";"_T";"Y18T64";"2";"_Z";"I_ODD";2010;50.9
"ODD3";"3.i6";"_Z";"0";"A";"FM";"FRANCE";"_Z";"_T";"Y14T17";"_Z";"_Z";"I_ODD";2023;116
"ODD3";"3.i6";"_Z";"0";"A";"FM";"FRANCE";"_Z";"_T";"_T";"_Z";"_Z";"I_ODD";2021;2944
"ODD1";"1.i4";"PT";"0";"L";"FM";"FRANCE";"REV_Q4";"_T";"_T";"_Z";"_Z";"I_ODD";2014;
"ODD10";"10.i4";"PT";"0";"L";"F";"FRANCE";"_Z";"F";"Y_GE15";"_Z";"_Z";"I_ODD";2020;
"ODD5";"5.i5b";"PT";"0";"B";"F_X_D976";"FRANCE";"_Z";"F";"_T";"_Z";"_Z";"I_ODD";2021;40
"ODD1";"1.i1a";"PT";"0";"A";"FM";"FRANCE";"NIVIEMED_S60";"_T";"Y65T74";"_T";"_T";"I_ODD";2011;7.4
"ODD9";"9.i6c";"XDC";"6";"A";"F";"FRANCE";"OBJ_SOCECO1";"_Z";"_Z";"_Z";"_Z";"I_ODD";2014;1087.5
"ODD4";"4.i1a";"PT";"0";"A";"F_X_D976";"FRANCE";"_Z";"_T";"_Z";"_Z";"_Z";"I_ODD";2021;94
"ODD8";"8.i3";"PT";"0";"A";"F_X_D976";"FRANCE";"_Z";"_T";"Y15T24";"_Z";"_Z";"I_ODD";2021;10.4
"ODD5";"5.i5b";"PT";"0";"A";"F_X_D976";"FRANCE";"FPH";"F";"_T";"_Z";"_Z";"I_ODD";2011;43
"ODD3";"3.i5";"PT";"0";"A";"FM";"FRANCE";"ALCOOL_CONS1";"_T";"Y18T75";"_Z";"_Z";"I_ODD";2014;86.8
"ODD2";"2.i2c";"PT";"0";"A";"F";"FRANCE";"_Z";"_T";"_Z";"_Z";"5";"I_ODD";2017;22.2
"ODD10";"10.i4";"PT";"0";"A";"F";"FRANCE";"_Z";"M";"Y_GE15";"_Z";"_Z";"I_ODD";2023;87.6
"ODD3";"3.i8";"PT";"0";"A";"FM";"FRANCE";"_Z";"M";"Y25T34";"_T";"_Z";"I_ODD";2017;41.7
"ODD3";"3.i7b";"PT";"0";"B";"FM";"FRANCE";"_Z";"_T";"Y_GE16";"_Z";"_Z";"I_ODD";2020;5.7
"ODD3";"3.i8";"PT";"0";"L";"FM";"FRANCE";"_T";"_T";"Y18T64";"1";"_Z";"I_ODD";2022;
"ODD5";"5.i2";"PT";"0";"A";"F";"FRANCE";"SC_DISC3";"F";"_T";"_Z";"_Z";"I_ODD";2014;63.1
"ODD3";"3.i7b";"PT";"0";"L";"FM";"FRANCE";"_Z";"_T";"Y_GE16";"_Z";"_Z";"I_ODD";2022;
"ODD3";"3.i6";"_Z";"0";"A";"FM";"FRANCE";"_Z";"_T";"Y65T74";"_Z";"_Z";"I_ODD";2010;264
"ODD3";"3.i8";"PT";"0";"L";"FM";"FRANCE";"_T";"_T";"Y18T64";"1";"_Z";"I_ODD";2012;
"ODD3";"3.i8";"PT";"0";"L";"FM";"FRANCE";"_Z";"F";"Y25T34";"_T";"_Z";"I_ODD";2013;
"ODD3";"3.i6";"_Z";"0";"A";"FM";"FRANCE";"_Z";"_T";"Y_GE75";"_Z";"_Z";"I_ODD";2017;527
"ODD5";"5.i2";"PT";"0";"A";"F";"FRANCE";"_T";"F";"_T";"_Z";"_Z";"I_ODD";2022;49.5
"ODD8";"8.i5";"HW";"6";"L";"F";"FRANCE";"43.91B";"_T";"_Z";"_Z";"_T";"I_ODD";2023;
"ODD2";"2.i2b";"PT";"0";"L";"FM";"FRANCE";"_Z";"_T";"Y_GE15";"_Z";"_Z";"I_ODD";2015;
"ODD8";"8.i3";"PT";"0";"A";"F_X_D976";"FRANCE";"_Z";"M";"Y_GE15";"_Z";"_Z";"I_ODD";2015;4.2
"ODD3";"3.i8";"PT";"0";"A";"FM";"FRANCE";"_Z";"F";"Y25T34";"_T";"_Z";"I_ODD";2014;29.1
"ODD3";"3.i6";"_Z";"0";"A";"FM";"FRANCE";"_Z";"_T";"Y25T44";"_Z";"_Z";"I_ODD";2012;1082
"ODD5";"5.i3a";"_Z";"0";"A";"FM";"FRANCE";"_Z";"_T";"Y18T75";"_Z";"_Z";"I_ODD";2022;186700
"ODD3";"3.i8";"PT";"0";"A";"FM";"FRANCE";"_Z";"M";"Y45T54";"_T";"_Z";"I_ODD";2016;36.1
"ODD10";"10.i4";"PT";"0";"A";"F";"FRANCE";"_Z";"_T";"Y_GE15";"_Z";"_Z";"I_ODD";2014;75.3
"ODD3";"3.i8";"PT";"0";"L";"FM";"FRANCE";"_Z";"M";"Y35T44";"_T";"_Z";"I_ODD";2020;
"ODD3";"3.i6";"_Z";"0";"A";"FM";"FRANCE";"_Z";"_T";"_T";"_Z";"_Z";"I_ODD";2020;2541
"ODD3";"3.i2";"_Z";"0";"E";"F";"FRANCE";"CONTAMIN_MOD3";"_T";"_T";"_Z";"_Z";"I_ODD";2020;70
"ODD8";"8.i8";"PT";"0";"R";"F";"FRANCE";"EMP_AIDE3";"_T";"Y_LT26";"_Z";"_Z";"I_ODD";2013;0.7
"ODD1";"1.i1a";"PT";"0";"A";"FM";"FRANCE";"NIVIEMED_S60";"_T";"Y40T49";"_T";"_T";"I_ODD";2019;14
"ODD9";"9.i6c";"XDC";"6";"A";"F";"FRANCE";"OBJ_SOCECO8";"_Z";"_Z";"_Z";"_Z";"I_ODD";2024;411.6
"ODD4";"4.i1d";"PT";"0";"L";"F";"FRANCE";"SESC3";"_T";"Y15";"_Z";"_Z";"I_ODD";2013;
"ODD8";"8.i5";"HW";"6";"A";"F";"FRANCE";"85.51";"_T";"_Z";"_Z";"_T";"I_ODD";2013;81
"ODD8";"8.i3";"PT";"0";"A";"F_X_D976";"FRANCE";"_Z";"F";"Y_GE15";"_Z";"_Z";"I_ODD";2010;11.4
"ODD1";"1.i1b";"PT";"0";"A";"FM";"FRANCE";"NIVIEMED_S50";"_T";"Y40T49";"_T";"_T";"I_ODD";2014;8
"ODD8";"8.i8";"PT";"0";"R";"F";"FRANCE";"EMP_AIDE5";"_T";"Y_LT26";"_Z";"_Z";"I_ODD";2019;0.7
"ODD8";"8.i5";"HW";"6";"L";"F";"FRANCE";"93.12";"_T";"_Z";"_Z";"_T";"I_ODD";2017;
"ODD3";"3.i6";"_Z";"0";"L";"FM";"FRANCE";"ROUTE_TYP1";"_T";"_T";"_Z";"_Z";"I_ODD";2024;
"ODD2";"2.i2b";"PT";"0";"L";"FM";"FRANCE";"_Z";"M";"Y_GE15";"_Z";"_Z";"I_ODD";2021;
"ODD3";"3.i6";"_Z";"0";"A";"FM";"FRANCE";"ROUTE_TYP1";"_T";"_T";"_Z";"_Z";"I_ODD";2020;201
"ODD10";"10.i4";"PT";"0";"A";"F";"FRANCE";"_Z";"M";"Y_GE15";"_Z";"_Z";"I_ODD";2012;78
"ODD2";"2.i2f";"PT";"0";"L";"F";"FRANCE";"_Z";"_T";"_Z";"_Z";"4";"I_ODD";2021;
"ODD3";"3.i2";"_Z";"0";"E";"F";"FRANCE";"CONTAMIN_MOD1";"_T";"_T";"_Z";"_Z";"I_ODD";2015;2564
"ODD10";"10.i5";"PT";"0";"A";"F";"FRANCE";"_Z";"_T";"Y15T29";"_Z";"_Z";"I_ODD";2014;97.1
"ODD9";"9.i6c";"XDC";"6";"A";"F";"FRANCE";"OBJ_SOCECO6";"_Z";"_Z";"_Z";"_Z";"I_ODD";2016;212.9
"ODD8";"8.i3";"PT";"0";"A";"F_X_D976";"FRANCE";"_Z";"_T";"Y_GE15";"_Z";"_Z";"I_ODD";2012;6.9
"ODD8";"8.i8";"PT";"0";"R";"F";"FRANCE";"EMP_AIDE2";"_T";"Y_LT26";"_Z";"_Z";"I_ODD";2011;6.4
"ODD9";"9.i6a";"XDC";"6";"A";"F";"FRANCE";"_Z";"_Z";"_Z";"_Z";"_Z";"I_ODD";2021;16257.9
"ODD1";"1.i1b";"PT";"0";"A";"FM";"FRANCE";"NIVIEMED_S50";"_T";"Y40T49";"_T";"_T";"I_ODD";2011;7.5
"ODD13";"13.i4a";"TCO2E";"6";"E";"F";"FRANCE";"_Z";"_Z";"_Z";"_Z";"_Z";"I_ODD";2013;436
"ODD3";"3.i8";"PT";"0";"A";"FM";"FRANCE";"_Z";"F";"Y65T75";"_T";"_Z";"I_ODD";2017;8.4
"ODD3";"3.i5";"PT";"0";"A";"FM";"FRANCE";"ALCOOL_CONS3";"_T";"Y18T75";"_Z";"_Z";"I_ODD";2010;36.3
"ODD10";"10.i3a";"_Z";"0";"L";"F_X_D976";"FRANCE";"_Z";"_T";"_T";"_Z";"_Z";"I_ODD";2019;
"ODD3";"3.i8";"PT";"0";"L";"FM";"FRANCE";"DIPL_NIV1";"_T";"Y18T75";"_T";"_Z";"I_ODD";2024;
"ODD3";"3.i8";"PT";"0";"A";"FM";"FRANCE";"_Z";"M";"Y45T54";"_T";"_Z";"I_ODD";2010;32.9
"ODD10";"10.i5";"PT";"0";"A";"F";"FRANCE";"_Z";"_T";"Y45T59";"_Z";"_Z";"I_ODD";2015;86.4
"ODD5";"5.i4a";"_Z";"0";"L";"FM";"FRANCE";"_Z";"_T";"Y18T75";"_Z";"_Z";"I_ODD";2019;
"ODD8";"8.i6";"PT";"0";"L";"FM";"FRANCE";"_Z";"M";"_Z";"_Z";"_Z";"I_ODD";2014;
"ODD4";"4.i1d";"PT";"0";"L";"F";"FRANCE";"SESC4";"_T";"Y15";"_Z";"_Z";"I_ODD";2019;
"ODD17";"17.i2b";"_Z";"0";"A";"F";"FRANCE";"APD_CAD152_700";"_Z";"_Z";"_Z";"_Z";"I_ODD";2012;100.3
"ODD5";"5.i4b";"PT";"0";"A";"FM";"FRANCE";"_Z";"F";"Y18T75";"_Z";"_Z";"I_ODD";2012;62
"ODD4";"4.i3";"PT";"0";"L";"F";"FRANCE";"NUM_COMP4";"_T";"Y16T74";"_Z";"_Z";"I_ODD";2024;
"ODD8";"8.i3";"PT";"0";"L";"F_X_D976";"FRANCE";"_Z";"_T";"Y25T49";"_Z";"_Z";"I_ODD";2024;
"ODD4";"4.i1a";"PT";"0";"A";"F_X_D976";"FRANCE";"_Z";"_T";"_Z";"_Z";"_Z";"I_ODD";2011;95
"ODD3";"3.i2";"_Z";"0";"E";"F";"FRANCE";"CONTAMIN_MOD2";"_T";"_T";"_Z";"_Z";"I_ODD";2018;3397
"ODD1";"1.i4";"PT";"0";"L";"FM";"FRANCE";"REV_Q2";"_T";"_T";"_Z";"_Z";"I_ODD";2022;
"ODD3";"3.i8";"PT";"0";"L";"FM";"FRANCE";"_Z";"F";"Y65T75";"_T";"_Z";"I_ODD";2012;
"ODD5";"5.i1";"PT";"0";"A";"F_X_D976";"FRANCE";"_Z";"F";"_T";"_Z";"_Z";"I_ODD";2011;15.7
"ODD3";"3.i8";"PT";"0";"A";"FM";"FRANCE";"_Z";"M";"Y18T24";"_T";"_Z";"I_ODD";2016;44.2
"ODD3";"3.i8";"PT";"0";"A";"FM";"FRANCE";"_Z";"M";"Y55T64";"_T";"_Z";"I_ODD";2014;22.4
"ODD10";"10.i3b";"_Z";"0";"L";"F_X_D976";"FRANCE";"_Z";"_T";"_T";"_Z";"_Z";"I_ODD";2024;
"ODD2";"2.i2e";"PT";"0";"L";"F";"FRANCE";"_Z";"_T";"_Z";"_Z";"1_2";"I_ODD";2022;
"ODD3";"3.i2";"_Z";"0";"E";"F";"FRANCE";"CONTAMIN_MOD2";"_T";"_T";"_Z";"_Z";"I_ODD";2012;3650
"ODD5";"5.i3b";"PT";"0";"L";"FM";"FRANCE";"_Z";"F";"Y18T75";"_Z";"_Z";"I_ODD";2019;
"ODD8";"8.i6";"PT";"0";"L";"FM";"FRANCE";"_Z";"F";"_Z";"_Z";"_Z";"I_ODD";2023;
"ODD1";"1.i1b";"PT";"0";"A";"FM";"FRANCE";"NIVIEMED_S50";"_T";"_T";"11";"_T";"I_ODD";2015;3.2
"ODD8";"8.i1";"PT";"0";"A";"F";"FRANCE";"_Z";"_Z";"_Z";"_Z";"_Z";"I_ODD";2013;0.286502
"ODD8";"8.i5";"HW";"6";"L";"F";"FRANCE";"93.12";"_T";"_Z";"_Z";"_T";"I_ODD";2021;
"ODD3";"3.i8";"PT";"0";"L";"FM";"FRANCE";"3_X_353";"_T";"Y18T75";"_T";"_Z";"I_ODD";2022;
